Dish Name,Calories (kcal),Carbohydrates (g),Protein (g),Fats (g),Free Sugar (g),Fibre (g),Sodium (mg),Calcium (mg),Iron (mg),Vitamin C (mg),Folate (?g)
Adhirasam,333,50,4,13,28,1.5,,,,,
Aloo Gobi,104.73,5.99,1.9,8.13,0.44,3.02,254.76,22.87,1.07,61.11,
Aloo Matar,99.05,9.74,3.48,5.13,1.86,3.61,154.83,21.1,1.02,70.01,
Aloo Methi,133.24,8.47,2.25,10.04,0.54,2.93,221.93,107.8,2.53,68.76,
Aloo Shimla Mirch,123.5,16,2.5,5.5,3,3.5,,,,,
Aloo Tikki,190.5,25,3.5,8.5,2.5,3,,,,,
Anarsa,384,56,4,16,32,2,,,,,
Ariselu,405,58,5,17,31,2,,,,,
Bandar Laddu,422,57,8,18,38,3,,,,,
Basundi,164,18,5,8,16,0,,,,,
Bhatura,329,46,7,13,2,2,28.3,12.12,0.33,0.05,
Bhindi Masala,119.1,12,2.7,6.7,3.3,4,,,,,
Biryani,133,18,4,5,1.2,1.2,,,,,
Veg Biryani,129.4,18.6,3.4,4.6,1.4,1.7,,,,,
Chicken Biryani,160.5,16.6,8,6.9,1.1,1.1,,,,,
Mutton Biryani,179.1,15.7,8.6,9.1,0.9,0.9,,,,,
Egg Biryani,142.5,17.1,5.7,5.7,1.1,1.1,,,,,
Boondi,421,39,10,25,6,4,,,,,
Butter Chicken,136.94,3.74,10.92,8.7,2.37,1.32,26.21,25.28,0.92,32.65,
Chak Hao Kheer,153.39,22.93,4.37,4.91,12.57,0.76,25.77,94.89,0.46,3.22,
Cham Cham,247,38,8,7,34,0,,,,,
Chana Masala,161,22.5,6.5,5,4,5.5,,,,,
Chapati,198.16,35.65,5.88,3.56,1.0,6.31,1.16,17.22,2.28,0.0,
Chhena Kheeri,165,20,5.5,7,17,0,,,,,
Chicken Razala,215,5,15,15,2.5,1,,,,,
Chicken Tikka,149,4,17.5,7,1.5,0.5,,,,,
Chicken Tikka Masala,186.4,7.2,12.4,12,3.2,1.2,,,,,
Chikki,485,50,15,25,40,5,,,,,
Daal Baati Churma,249.5,30,6.5,11.5,6,4,,,,,
Daal Puri,221.5,28,6,9.5,2,3.5,,,,,
Dal Makhani,123.5,13,5.5,5.5,1.5,3.5,41.85,20.62,1.23,9.19,
Dal Tadka,130.5,16,6.5,4.5,2,4,,,,,
Dharwad Pedha,361,50,11,13,45,0,,,,,
Doodhpak,145,21,4,5,15,0.5,,,,,
Double Ka Meetha,282.3,36.7,5.3,12.7,23.3,1.3,,,,,
Dum Aloo,174,18,3,10,3,3,183.85,16.49,0.36,29.39,
Gajar Ka Halwa,174.13,18.53,3.11,9.73,16.85,2.65,39.96,106.94,0.76,6.53,
Gavvalu,413,58,7,17,30,2,,,,,
Ghevar,370,46,6,18,28,1,,,,,
Gulab Jamun,299,45,5,11,38,0,,,,,
Imarti,326.5,49,4.5,12.5,39,1,,,,,
Jalebi,336,53,4,12,41,1,,,,,
Kachori,262,28,6,14,2,4,,,,,
Kadai Paneer,107.97,7.34,4.33,6.81,5.54,2.07,144.33,91.53,0.65,85.83,
Kadhi Pakoda,146.5,13,4.5,8.5,3.5,1.5,,,,,
Kajjikaya,381,50,7,17,27,3,,,,,
Kakinada Khaja,402,54,6,18,33,1.5,,,,,
Kalakand,311,33,11,15,30,0,,,,,
Karela Bharta,108.5,10,2.5,6.5,2.5,4,,,,,
Kofta,206,15,5,14,3.5,2,,,,,
Kuzhi Paniyaram,179.5,28,4.5,5.5,2,2,,,,,
Lassi,70,10,3,2,9,0,65.4,47.78,0.04,1.02,
Ledikeni,300,43,5,12,35,0,,,,,
Litti Chokha,198,30,6,6,2.3,4.5,,,,,
Lyangcha,300,43,5,12,34,0,,,,,
Maach Jhol,115,4,9,7,2,1.8,184.71,52.06,1.09,22.48,
Makki Di Roti Sarson Da Saag,150,20,4,6,1.7,3.3,,,,,
Malapua,298,38,5,14,22,1.5,6.35,30.05,0.33,0.67,
Misi Roti,230,36,8,6,2.5,6,,,,,
Misti Doi,105,16,3.5,3,15,0,,,,,
Modak,239.5,39,4,7.5,21,2.5,,,,,
Mysore Pak,434,43,7,26,31,1,,,,,
Naan,284.11,51.75,8.05,4.99,5.59,1.91,326.11,88.01,1.29,0.23,
Navrattan Korma,173,14,4.5,11,4.5,2.6,,,,,
Palak Paneer,127,4.5,7,9,2.55,1.91,166.87,113.25,1.85,60.21,
Paneer Butter Masala,197,12,8,13,5,2,151.45,170.59,0.85,18.02,
Phirni,117.46,16.11,3.49,4.34,10.79,0.36,22.47,104.57,0.23,5.04,
Pithe,268.5,43,5,8.5,22,2.5,,,,,
Poha,157.5,28,3.5,3.5,1,2.5,377.1,37.67,3.01,6.62,
Poornalu,282,42,6,10,25,2.5,,,,,
Pootharekulu,321.03,59.61,3.66,7.55,23.86,1.75,2.67,6.11,0.38,0.0,
Qubani Ka Meetha,184,30,2.5,6,25,3,,,,,
Rabri,104.43,10.55,3.52,5.35,10.09,0.19,23.92,111.87,0.29,4.09,
Ras Malai,142.11,29.17,1.61,2.11,28.71,0.07,16.46,62.31,0.15,2.69,
Rasgulla,124.43,25.79,1.38,1.75,25.4,0.01,15.19,57.09,0.12,2.69,
Sandesh,262,32,11,10,28,0,,,,,
Shankarpali,472,56,8,24,24,2,,,,,
Sheer Korma,179,24,5,7,17,1,,,,,
Sheera,254,36,5,10,19,1.5,,,,,
Shrikhand,111.17,16.02,5.27,2.89,15.81,0.08,73.61,183.02,0.17,2.79,
Sohan Halwa,458,57,8,22,40,2,,,,,
Sohan Papdi,491,61,10,23,42,2,,,,,
Sutar Feni,428,55,7,20,35,1.5,,,,,
Unni Appam,272,41,4.5,10,23,3,,,,,
